students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
207,3.0,False,96.4,Shaguf,5.337538079701318,1.3862943611198906,True
3,12.0,False,87.88,Shaguf,1.3862943611198906,2.5649493574615367,True
107,9.0,False,99.7,Shaguf,4.68213122712422,2.302585092994046,True
117,9.0,False,94.0,Shaguf,4.770684624465665,2.302585092994046,True
2,50.0,False,74.87,Shaguf,1.0986122886681096,3.9318256327243257,True
231,14.0,False,81.74,Shaguf,5.44673737166631,2.70805020110221,True
1,3.0,False,99.88,Shaguf,0.6931471805599453,1.3862943611198906,True
1103,12.0,False,87.59,Shaguf,7.00669522683704,2.5649493574615367,True
230,4.0,False,88.0,Shaguf,5.442417710521793,1.6094379124341003,True
1,16.0,False,99.36,Shaguf,0.6931471805599453,2.833213344056216,True
1331,16.0,False,94.0,Shaguf,7.194436851100335,2.833213344056216,True
1,19.0,False,99.24,Shaguf,0.6931471805599453,2.995732273553991,True
2,8.0,False,95.27,Shaguf,1.0986122886681096,2.1972245773362196,True
106,2000.0,False,37.5,Shaguf,4.672828834461906,7.601402334583733,True
101,6.0,False,99.76,Shaguf,4.624972813284271,1.9459101490553132,True
1252,6.0,False,94.0,Shaguf,7.133295954896068,1.9459101490553132,True
2,30.0,False,67.63,Shaguf,1.0986122886681096,3.4339872044851463,True
324,3.0,False,96.09,Shaguf,5.783825182329737,1.3862943611198906,True
1,17.0,False,92.71,Shaguf,0.6931471805599453,2.8903717578961645,True
1180,6.0,False,90.0,Shaguf,7.074116816197362,1.9459101490553132,True
106,13.0,False,99.57,Shaguf,4.672828834461906,2.639057329615259,True
101,5.0,False,99.77,Shaguf,4.624972813284271,1.791759469228055,True
101,2.0,False,99.93,Shaguf,4.624972813284271,1.0986122886681096,True
101,9.0,False,72.73,Shaguf,4.624972813284271,2.302585092994046,True
2,3.0,False,99.0,Shaguf,1.0986122886681096,1.3862943611198906,True
4,6.0,False,95.5,Shaguf,1.6094379124341003,1.9459101490553132,True
212,4.0,False,99.84,Shaguf,5.3612921657094255,1.6094379124341003,True
1331,28.0,False,85.93,Shaguf,7.194436851100335,3.367295829986474,True
220,37.0,False,83.18,Shaguf,5.3981627015177525,3.6375861597263857,True
321,2.0,False,96.47,Shaguf,5.7745515455444085,1.0986122886681096,True
101,3.0,False,93.96,Shaguf,4.624972813284271,1.3862943611198906,True
2,5.0,False,99.8,Shaguf,1.0986122886681096,1.791759469228055,True
140,7.0,False,99.72,Shaguf,4.948759890378168,2.0794415416798357,True
1,2.0,False,99.92,Shaguf,0.6931471805599453,1.0986122886681096,True
106,14.0,False,81.74,Shaguf,4.672828834461906,2.70805020110221,True
2,5.0,False,99.83,Shaguf,1.0986122886681096,1.791759469228055,True
352,11.0,False,96.33,Shaguf,5.8664680569332965,2.4849066497880004,True
162,2.0,False,96.47,Shaguf,5.093750200806762,1.0986122886681096,True
354,24.0,False,76.0,Shaguf,5.872117789475416,3.2188758248682006,True
1306,5.0,False,99.82,Shaguf,7.175489713624222,1.791759469228055,True
1,14.0,False,96.85,Shaguf,0.6931471805599453,2.70805020110221,True
101,4.0,False,99.84,Shaguf,4.624972813284271,1.6094379124341003,True
2,9.0,False,86.5,Shaguf,1.0986122886681096,2.302585092994046,True
104,8.0,False,92.5,Shaguf,4.653960350157523,2.1972245773362196,True
